subjectID	runNum	itemname	onsettime	trialtype	RT	respInTime	Audiotime	response	fixationtime	ladder1	ladder2
bfer_181	1	3090.jpg	1.086434e+00	24	999000	240	999000	999	2.10	750	750
bfer_181	1	3099.jpg	6.092060e+00	24	999000	240	999000	999	7.11	750	750
bfer_181	1	3185.jpg	8.077433e+00	12	999000	120	999000	999	9.10	750	750
bfer_181	1	3224.jpg	1.007992e+01	22	1.157006e+03	2200	7.503128e+02	98	11.10	750	700
bfer_181	1	4001.jpg	1.608684e+01	12	999000	120	999000	999	17.10	750	700
bfer_181	1	4051.jpg	1.808889e+01	24	999000	240	999000	999	19.11	750	700
bfer_181	1	4084.jpg	2.109223e+01	24	999000	240	999000	999	22.11	750	700
bfer_181	1	4251.jpg	2.307776e+01	11	9.911646e+02	110	7.503618e+02	98	24.10	7.666667e+02	700
