subjectID	runNum	itemname	onsettime	trialtype	RT	respInTime	Audiotime	response	fixationtime	ladder1	ladder2
BFE_310	1	3090.jpg	1.097182e+00	24	999000	240	999000	999	2.11	750	750
BFE_310	1	3099.jpg	4.083583e+00	24	999000	240	999000	999	5.10	750	750
BFE_310	1	3185.jpg	6.085742e+00	12	999000	120	999000	999	7.10	750	750
BFE_310	1	3224.jpg	8.088072e+00	22	1.217294e+03	2200	7.509140e+02	98	9.11	750	700
BFE_310	1	4001.jpg	1.009019e+01	12	999000	120	999000	999	11.11	750	700
BFE_310	1	4051.jpg	1.309360e+01	24	999000	240	999000	999	14.11	750	700
BFE_310	1	4084.jpg	1.507891e+01	24	999000	240	999000	999	16.10	750	700
BFE_310	1	4251.jpg	1.908366e+01	11	1.061704e+03	1100	7.514902e+02	98	20.10	700	700
