subjectID	 order	 itemIndABC	 runtrial	 isGO?	 subjectAnswer	 onsettime	 Name	 resp_choice	 RT	 bidInd
BFE_335	 1	 23	 1	 0	 0	 3.082761e-02	 2101.jpg	 i	 1.339705e+00	 78	 
BFE_335	 1	 38	 2	 0	 0	 2.416885e+00	 2216.jpg	 i	 1.241615e+00	 44	 
BFE_335	 1	 12	 3	 0	 0	 4.702711e+00	 1119.jpg	 i	 1.171790e+00	 17	 
BFE_335	 1	 28	 4	 0	 0	 6.921908e+00	 2109.jpg	 i	 2.192610e+00	 42	 
BFE_335	 1	 34	 5	 0	 0	 1.015882e+01	 2207.jpg	 i	 1.035682e+00	 77	 
BFE_335	 1	 22	 6	 1	 1	 1.224460e+01	 1219.jpg	 u	 9.978844e-01	 7	 
BFE_335	 1	 2	 7	 0	 0	 1.429688e+01	 1103.jpg	 i	 1.129617e+00	 4	 
BFE_335	 1	 5	 8	 1	 1	 1.648262e+01	 1107.jpg	 u	 8.958841e-01	 12	 
BFE_335	 1	 4	 9	 0	 0	 1.843479e+01	 1106.jpg	 i	 6.957055e-01	 9	 
BFE_335	 1	 31	 10	 0	 0	 2.018675e+01	 2114.jpg	 i	 8.397667e-01	 48	 
BFE_335	 1	 33	 11	 0	 0	 2.207218e+01	 2206.jpg	 i	 9.143199e-01	 51	 
BFE_335	 1	 9	 12	 0	 0	 2.404111e+01	 1115.jpg	 i	 5.773781e-01	 8	 
BFE_335	 1	 6	 13	 0	 0	 2.567624e+01	 1108.jpg	 i	 7.023051e-01	 40	 
BFE_335	 1	 14	 14	 0	 0	 2.742824e+01	 1203.jpg	 i	 6.542842e-01	 22	 
BFE_335	 1	 37	 15	 0	 0	 2.913008e+01	 2215.jpg	 i	 1.872397e+00	 56	 
BFE_335	 1	 11	 16	 0	 0	 3.205007e+01	 1118.jpg	 i	 5.364262e-01	 38	 
BFE_335	 1	 19	 17	 0	 0	 3.363512e+01	 1215.jpg	 i	 7.753828e-01	 21	 
BFE_335	 1	 1	 18	 1	 1	 3.545389e+01	 1102.jpg	 u	 1.108622e+00	 10	 
BFE_335	 1	 32	 19	 0	 0	 3.760636e+01	 2121.jpg	 i	 1.140140e+00	 41	 
BFE_335	 1	 7	 20	 1	 1	 3.979206e+01	 1111.jpg	 u	 1.138442e+00	 15	 
BFE_335	 1	 29	 21	 0	 0	 4.197784e+01	 2110.jpg	 i	 5.526630e-01	 43	 
BFE_335	 1	 35	 22	 1	 1	 4.357970e+01	 2209.jpg	 u	 3.982826e+00	 52	 
BFE_335	 1	 10	 23	 0	 0	 4.861859e+01	 1117.jpg	 i	 5.999155e-01	 39	 
BFE_335	 1	 27	 24	 1	 1	 5.027046e+01	 2107.jpg	 u	 7.160370e-01	 55	 
BFE_335	 1	 26	 25	 0	 0	 5.203912e+01	 2105.jpg	 i	 6.033788e-01	 49	 
BFE_335	 1	 13	 26	 0	 0	 5.369097e+01	 1201.jpg	 i	 5.515412e-01	 20	 
BFE_335	 1	 20	 27	 0	 0	 5.529273e+01	 1216.jpg	 i	 7.337682e-01	 19	 
BFE_335	 1	 36	 28	 1	 1	 5.707809e+01	 2210.jpg	 u	 8.044013e-01	 58	 
BFE_335	 1	 30	 29	 1	 1	 5.893028e+01	 2111.jpg	 u	 7.202200e-01	 50	 
BFE_335	 1	 40	 30	 0	 0	 6.069881e+01	 2219.jpg	 i	 8.637133e-01	 57	 
BFE_335	 1	 16	 31	 0	 0	 6.261769e+01	 1206.jpg	 i	 9.528190e-01	 14	 
BFE_335	 1	 21	 32	 0	 0	 6.461987e+01	 1217.jpg	 i	 2.742626e+00	 16	 
BFE_335	 1	 18	 33	 1	 1	 6.840751e+01	 1211.jpg	 u	 7.789987e-01	 13	 
BFE_335	 1	 39	 34	 1	 1	 7.024280e+01	 2217.jpg	 u	 8.877540e-01	 53	 
BFE_335	 1	 8	 35	 0	 0	 7.217838e+01	 1114.jpg	 i	 6.401350e-01	 3	 
BFE_335	 1	 3	 36	 0	 0	 7.386362e+01	 1104.jpg	 i	 5.948957e-01	 37	 
BFE_335	 1	 15	 37	 1	 1	 7.551540e+01	 1204.jpg	 u	 7.270953e-01	 18	 
BFE_335	 1	 17	 38	 0	 0	 7.730072e+01	 1209.jpg	 i	 1.957775e+00	 11	 
BFE_335	 1	 24	 39	 0	 0	 8.030409e+01	 2102.jpg	 i	 7.944156e-01	 54	 
BFE_335	 1	 25	 40	 1	 1	 8.215614e+01	 2103.jpg	 u	 1.302362e+00	 47	 
