Trial	StimName	Liking	RT
1	110.jpg	6.26666666667	10957
2	158.jpg	3.53333333333	4604
3	157.jpg	6.6	3001
4	136.jpg	7.75555555556	3004
5	107.jpg	8.51111111111	4455
6	132.jpg	7.17777777778	3103
7	135.jpg	3.53333333333	3140
8	126.jpg	5.24444444444	4553
9	114.jpg	6.86666666667	3472
10	138.jpg	1.77777777778	3271
11	122.jpg	8.44444444444	2353
12	142.jpg	4.75555555556	2699
13	150.jpg	3.42222222222	2753
14	111.jpg	8.6	2356
15	144.jpg	0.822222222222	3973
16	123.jpg	6.68888888889	2853
17	116.jpg	0.333333333333	4136
18	118.jpg	8.93333333333	2488
19	155.jpg	0.822222222222	2938
20	149.jpg	7.33333333333	3237
21	129.jpg	5.91111111111	2949
22	139.jpg	0.177777777778	2299
23	108.jpg	7.64444444444	2651
24	143.jpg	5.71111111111	4306
25	120.jpg	8.22222222222	2736
26	101.jpg	1.37777777778	3102
27	147.jpg	7.4	2704
28	127.jpg	4.84444444444	2135
29	117.jpg	8.64444444444	2768
30	141.jpg	7.86666666667	5524
31	148.jpg	6.17777777778	2238
32	104.jpg	6.8	2266
33	137.jpg	5.24444444444	2037
34	133.jpg	4.04444444444	2801
35	121.jpg	8.68888888889	1686
36	131.jpg	0.4	2372
37	105.jpg	7.13333333333	3019
38	151.jpg	2.91111111111	2985
39	156.jpg	7.88888888889	3852
40	140.jpg	0.244444444444	4571
41	125.jpg	3.44444444444	2972
42	128.jpg	6.04444444444	2769
43	119.jpg	5.53333333333	2537
44	115.jpg	1.04444444444	2435
45	154.jpg	4.8	2068
46	134.jpg	2.44444444444	2885
47	109.jpg	9.06666666667	2356
48	113.jpg	3.24444444444	3133
49	145.jpg	0.555555555556	2602
50	146.jpg	1.37777777778	2635
51	124.jpg	7.93333333333	3169
52	106.jpg	5.26666666667	2466
53	153.jpg	3.11111111111	2435
54	159.jpg	2.93333333333	2821
55	130.jpg	7.51111111111	3081
56	160.jpg	7.26666666667	2317
57	102.jpg	8.51111111111	2118
58	103.jpg	7.93333333333	2800
59	152.jpg	2.57777777778	2167
60	112.jpg	8.37777777778	2133
