subjectID	runNum	itemname	onsettime	trialtype	RT	respInTime	Audiotime	response	fixationtime	ladder1	ladder2
BFE_108	1	3090.jpg	1.075266e+00	24	999000	240	999000	999	2.09	750	750
BFE_108	1	3099.jpg	3.060273e+00	24	999000	240	999000	999	4.08	750	750
BFE_108	1	3185.jpg	7.064731e+00	12	999000	120	999000	999	8.08	750	750
BFE_108	1	3224.jpg	1.005124e+01	22	1.289171e+03	2200	7.522075e+02	98	11.07	750	700
BFE_108	1	4001.jpg	1.205374e+01	12	999000	120	999000	999	13.07	750	700
BFE_108	1	4051.jpg	1.505701e+01	24	999000	240	999000	999	16.07	750	700
BFE_108	1	4084.jpg	1.906157e+01	24	999000	240	999000	999	20.08	750	700
BFE_108	1	4251.jpg	2.306610e+01	11	9.543221e+02	110	7.515110e+02	98	24.08	7.666667e+02	700
