subjectID	 order	 itemIndABC	 runtrial	 isGO?	 subjectAnswer	 onsettime	 Name	 resp_choice	 RT	 bidInd
BFE_104	 2	 21	 1	 0	 0	 3.003553e-02	 1213.jpg	 u	 2.702885e+00	 4	 
BFE_104	 2	 13	 2	 0	 0	 3.784402e+00	 1119.jpg	 u	 1.188559e+00	 19	 
BFE_104	 2	 10	 3	 0	 0	 6.020107e+00	 1116.jpg	 u	 9.608143e-01	 15	 
BFE_104	 2	 1	 4	 0	 0	 8.039051e+00	 1101.jpg	 u	 7.018636e-01	 40	 
BFE_104	 2	 2	 5	 1	 1	 9.791032e+00	 1102.jpg	 i	 1.413895e+00	 14	 
BFE_104	 2	 33	 6	 0	 0	 1.226046e+01	 2201.jpg	 u	 7.924608e-01	 52	 
BFE_104	 2	 14	 7	 1	 1	 1.409589e+01	 1121.jpg	 i	 8.210520e-01	 8	 
BFE_104	 2	 17	 8	 0	 0	 1.596458e+01	 1207.jpg	 u	 7.443608e-01	 7	 
BFE_104	 2	 36	 9	 1	 1	 1.776662e+01	 2208.jpg	 i	 8.623218e-01	 57	 
BFE_104	 2	 7	 10	 0	 0	 1.968543e+01	 1113.jpg	 u	 2.575500e+00	 37	 
BFE_104	 2	 9	 11	 0	 0	 2.330619e+01	 1115.jpg	 u	 8.187453e-01	 13	 
BFE_104	 2	 11	 12	 0	 0	 2.517495e+01	 1117.jpg	 u	 5.339786e-01	 39	 
BFE_104	 2	 32	 13	 0	 0	 2.676005e+01	 2117.jpg	 u	 5.328862e-01	 78	 
BFE_104	 2	 12	 14	 0	 0	 2.834512e+01	 1118.jpg	 u	 7.238077e-01	 10	 
BFE_104	 2	 28	 15	 0	 0	 3.011382e+01	 2112.jpg	 u	 5.071116e-01	 53	 
BFE_104	 2	 16	 16	 1	 1	 3.166550e+01	 1204.jpg	 i	 1.867427e+00	 9	 
BFE_104	 2	 25	 17	 0	 0	 3.458553e+01	 2107.jpg	 u	 6.834165e-01	 77	 
BFE_104	 2	 39	 18	 0	 0	 3.632071e+01	 2216.jpg	 u	 1.196235e+00	 47	 
BFE_104	 2	 35	 19	 1	 1	 3.857330e+01	 2206.jpg	 i	 8.556249e-01	 48	 
BFE_104	 2	 24	 20	 0	 0	 4.047545e+01	 2103.jpg	 u	 6.894711e-01	 43	 
BFE_104	 2	 3	 21	 0	 0	 4.221074e+01	 1103.jpg	 u	 6.101818e-01	 18	 
BFE_104	 2	 40	 22	 0	 0	 4.387921e+01	 2217.jpg	 u	 6.857122e-01	 44	 
BFE_104	 2	 29	 23	 1	 1	 4.561454e+01	 2113.jpg	 i	 1.038388e+00	 56	 
BFE_104	 2	 27	 24	 0	 0	 4.770018e+01	 2111.jpg	 u	 6.007407e-01	 42	 
BFE_104	 2	 19	 25	 0	 1	 4.935202e+01	 1211.jpg	 i	 2.852914e+00	 20	 
BFE_104	 2	 38	 26	 1	 1	 5.325642e+01	 2211.jpg	 i	 7.964967e-01	 54	 
BFE_104	 2	 26	 27	 0	 0	 5.510847e+01	 2109.jpg	 u	 7.444562e-01	 41	 
BFE_104	 2	 18	 28	 0	 0	 5.691052e+01	 1210.jpg	 u	 1.094400e+00	 38	 
BFE_104	 2	 20	 29	 0	 0	 5.906297e+01	 1212.jpg	 u	 4.779931e-01	 21	 
BFE_104	 2	 22	 30	 1	 1	 6.059794e+01	 1215.jpg	 i	 7.029820e-01	 11	 
BFE_104	 2	 34	 31	 0	 0	 6.234993e+01	 2205.jpg	 u	 5.429920e-01	 50	 
BFE_104	 2	 6	 32	 0	 0	 6.395179e+01	 1112.jpg	 u	 4.691128e-01	 22	 
BFE_104	 2	 30	 33	 1	 1	 6.547015e+01	 2114.jpg	 i	 5.827846e-01	 51	 
BFE_104	 2	 31	 34	 0	 0	 6.710524e+01	 2115.jpg	 u	 6.836862e-01	 55	 
BFE_104	 2	 23	 35	 0	 0	 6.884053e+01	 2102.jpg	 u	 1.924400e+00	 58	 
BFE_104	 2	 37	 36	 1	 1	 7.181055e+01	 2209.jpg	 i	 6.983766e-01	 49	 
BFE_104	 2	 4	 37	 1	 1	 7.356249e+01	 1104.jpg	 i	 9.624343e-01	 17	 
BFE_104	 2	 5	 38	 0	 0	 7.558145e+01	 1111.jpg	 u	 6.475034e-01	 12	 
BFE_104	 2	 8	 39	 1	 1	 7.728341e+01	 1114.jpg	 i	 6.255162e-01	 16	 
BFE_104	 2	 15	 40	 0	 0	 7.895195e+01	 1201.jpg	 u	 5.649733e-01	 3	 
